TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
550,2024-01-06,1008,102,404,0,39.1,5,Cash
551,2024-01-06,1009,105,403,0,19.78,10,Cash
552,2024-01-16,1004,107,404,0,335.1,15,Card
553,2024-01-16,1006,102,406,0,195.5,20,Card
554,2024-01-25,1005,102,405,0,117.3,8,Card
555,2024-01-25,1001,101,401,0,2379.36,5,Card
557,2024-01-29,1010,101,402,0,3172.48,5,Card
559,2024-02-06,1001,106,401,0,622.86,10,Card
560,2024-02-06,1010,101,402,0,6344.96,20,Card
561,2024-02-06,1005,107,405,0,469.14,12,Card
562,2024-02-08,1003,108,403,0,12.56,10,Cash
563,2024-02-08,1006,107,406,0,67.02,5,Cash
564,2024-02-09,1009,107,403,0,469.14,10,Card
566,2024-02-24,1007,103,405,0,204.84,20,Card
568,2024-02-24,1011,107,401,0,603.18,20,Card
569,2024-02-24,1010,101,402,0,3965.6,10,Card
571,2024-02-27,1011,106,401,0,533.88,14,Card
572,2024-03-20,1005,105,405,0,178.02,4,Card
573,2024-03-20,1001,101,401,0,7138.08,25,Card
574,2024-03-25,1006,101,406,0,4758.72,30,Card
575,2024-03-25,1001,108,401,0,75.36,4,Cash
578,2024-04-10,1006,106,406,0,800.82,20,Card
579,2024-04-10,1008,106,404,0,800.82,20,Card
580,2024-04-11,1004,103,404,0,22.76,3,Cash
581,2024-04-11,1009,101,403,0,793.12,25,Card
582,2024-04-19,1001,101,401,0,6344.96,30,Card
584,2024-04-27,1007,101,405,0,7138.08,30,Card
585,2024-04-27,1002,108,402,0,113.04,5,Cash
586,2024-04-30,1001,105,401,0,39.56,4,Cash
587,2024-04-30,1007,102,405,0,78.2,5,Cash
590,2024-05-08,1005,107,405,1,603.18,15,Card
591,2024-05-08,1004,101,404,1,7138.08,30,Card
592,2024-05-17,1006,107,406,1,670.2,10,Card
594,2024-05-19,1003,101,403,1,1586.24,15,Card
595,2024-05-19,1006,108,406,1,25.12,5,Cash
596,2024-05-29,1011,105,401,0,98.9,5,Cash
601,2024-06-12,1005,106,405,0,711.84,15,Card
602,2024-06-17,1007,101,405,0,2379.36,20,Card
603,2024-06-17,1006,101,406,0,2379.36,20,Card
604,2024-06-20,1009,102,403,0,39.1,5,Cash
605,2024-06-20,1002,108,402,0,12.56,5,Cash
606,2024-07-02,1005,105,405,0,79.12,5,Cash
607,2024-07-02,1011,108,401,0,50.24,5,Cash
608,2024-07-04,1003,102,403,0,39.1,5,Cash
609,2024-07-04,1004,101,404,0,3965.6,20,Card
610,2024-07-04,1010,106,402,0,88.98,5,Cash
614,2024-07-15,1011,101,401,2,7138.08,25,Card
616,2024-07-17,1001,107,401,2,134.04,5,Cash
617,2024-07-17,1003,107,403,2,134.04,10,Cash
618,2024-07-21,1001,104,401,2,172.4,10,Cash
619,2024-07-21,1008,105,404,2,79.12,5,Cash
620,2024-07-25,1007,108,405,0,125.6,5,Cash
621,2024-07-25,1010,101,402,0,7931.2,25,Card
622,2024-08-01,1003,108,403,0,100.48,10,Cash
623,2024-08-01,1002,107,402,0,536.16,10,Card
624,2024-08-02,1011,108,401,0,125.6,5,Cash
625,2024-08-02,1002,108,402,0,125.6,5,Cash
626,2024-08-05,1003,108,403,0,37.68,5,Cash
627,2024-08-05,1006,104,406,0,129.3,10,Cash
628,2024-08-14,1011,107,401,0,201.06,10,Card
629,2024-08-14,1006,101,406,0,2379.36,23,Card
630,2024-08-21,1007,104,405,0,172.4,5,Cash
631,2024-08-21,1002,107,402,0,268.08,5,Card
632,2024-08-25,1006,108,406,0,75.36,5,Cash
634,2024-08-28,1006,105,406,0,39.56,5,Cash
635,2024-08-28,1005,106,405,0,177.96,5,Cash
636,2024-09-05,1005,107,405,3,1072.32,10,Card
637,2024-09-05,1007,107,405,3,1072.32,10,Card
638,2024-09-22,1001,101,401,3,6344.96,25,Card
639,2024-09-22,1007,104,405,3,689.6,5,Card
641,2024-09-30,1010,103,402,3,45.52,5,Cash
642,2024-10-10,1002,101,402,0,5551.84,25,Card
